0.20  0.04 2.5 0.004
0.40  0.16 2.5 0.016
0.60  0.36 2.5 0.036
0.80  0.64 2.5 0.064
1.00  1.00 9.0 0.1
1.20  1.44 2.5 0.144
1.40  1.96 2.5 0.196
1.60  2.56 2.5 0.256
1.80  3.24 2.5 0.324
2.00  4.00 9.0 0.4
2.20  4.84 2.5 0.484
2.40  5.76 2.5 0.576
2.60  6.76 2.5 0.676
2.80  7.84 2.5 0.784
3.00  9.00 9.0 0.9
3.20 10.24 2.5 1.024
3.40 11.56 2.5 1.156
3.60 12.96 2.5 1.296
3.80 14.44 2.5 1.444
4.00 16.00 9.0 1.6
4.20 17.64 2.5 1.764
4.40 19.36 2.5 1.936
4.60 21.16 2.5 2.116
4.80 23.04 2.5 2.304
5.00 25.00 9.0 2.5
5.20 27.04 2.5 2.704
5.40 29.16 2.5 2.916
5.60 31.36 2.5 3.136
5.80 33.64 2.5 3.364
