# Data to test Gaussian curve fitting.
# Two gaussian curves are in this data.
# Actual: 2  5.0 2.0 3.0 2.0 5.0 3.0
# Guess:  2  4.5 2.2 2.8 2.5 4.9 2.8
# I   X     Y     SIG
  1  0.1  3.491 0.003491
  2  0.2  3.643 0.003643
  3  0.3  3.808 0.003808
  4  0.4  3.958 0.003958
  5  0.5  4.105 0.004105
  6  0.6  4.256 0.004256
  7  0.7  4.404 0.004404
  8  0.8  4.544 0.004544
  9  0.9  4.677 0.004677
 10  1.0  4.809 0.004809
 11  1.1  4.937 0.004937
 12  1.2  5.055 0.005055
 13  1.3  5.176 0.005176
 14  1.4  5.283 0.005283
 15  1.5  5.372 0.005372
 16  1.6  5.463 0.005463
 17  1.7  5.557 0.005557
 18  1.8  5.624 0.005624
 19  1.9  5.680 0.005680
 20  2.0  5.728 0.005728
 21  2.1  5.773 0.005773
 22  2.2  5.820 0.005820
 23  2.3  5.831 0.005831
 24  2.4  5.862 0.005862
 25  2.5  5.859 0.005859
 26  2.6  5.856 0.005856
 27  2.7  5.852 0.005852
 28  2.8  5.815 0.005815
 29  2.9  5.789 0.005789
 30  3.0  5.756 0.005756
 31  3.1  5.704 0.005704
 32  3.2  5.662 0.005662
 33  3.3  5.603 0.005603
 34  3.4  5.524 0.005524
 35  3.5  5.441 0.005441
 36  3.6  5.381 0.005381
 37  3.7  5.278 0.005278
 38  3.8  5.191 0.005191
 39  3.9  5.095 0.005095
 40  4.0  5.002 0.005002
 41  4.1  4.889 0.004889
 42  4.2  4.787 0.004787
 43  4.3  4.668 0.004668
 44  4.4  4.568 0.004568
 45  4.5  4.438 0.004438
 46  4.6  4.327 0.004327
 47  4.7  4.201 0.004201
 48  4.8  4.080 0.004080
 49  4.9  3.963 0.003963
 50  5.0  3.828 0.003828
 51  5.1  3.714 0.003714
 52  5.2  3.589 0.003589
 53  5.3  3.479 0.003479
 54  5.4  3.348 0.003348
 55  5.5  3.227 0.003227
 56  5.6  3.108 0.003108
 57  5.7  2.981 0.002981
 58  5.8  2.870 0.002870
 59  5.9  2.750 0.002750
 60  6.0  2.635 0.002635
 61  6.1  2.524 0.002524
 62  6.2  2.410 0.002410
 63  6.3  2.295 0.002295
 64  6.4  2.186 0.002186
 65  6.5  2.084 0.002084
 66  6.6  1.978 0.001978
 67  6.7  1.881 0.001881
 68  6.8  1.782 0.001782
 69  6.9  1.688 0.001688
 70  7.0  1.594 0.001594
 71  7.1  1.503 0.001503
 72  7.2  1.416 0.001416
 73  7.3  1.335 0.001335
 74  7.4  1.251 0.001251
 75  7.5  1.172 0.001172
 76  7.6  1.095 0.001095
 77  7.7  1.025 0.001025
 78  7.8  0.955 0.000955
 79  7.9  0.890 0.000890
 80  8.0  0.827 0.000827
 81  8.1  0.768 0.000768
 82  8.2  0.712 0.000712
 83  8.3  0.658 0.000658
 84  8.4  0.606 0.000606
 85  8.5  0.559 0.000559
 86  8.6  0.513 0.000513
 87  8.7  0.472 0.000472
 88  8.8  0.432 0.000432
 89  8.9  0.394 0.000394
 90  9.0  0.359 0.000359
 91  9.1  0.328 0.000328
 92  9.2  0.297 0.000297
 93  9.3  0.270 0.000270
 94  9.4  0.244 0.000244
 95  9.5  0.220 0.000220
 96  9.6  0.199 0.000199
 97  9.7  0.179 0.000179
 98  9.8  0.160 0.000160
 99  9.9  0.144 0.000144
100 10.0  0.128 0.000128
