# Data to test lsqfit and medfit fitting routines.
# Line: Y = A + (B * X)   where: A = 4.5; B = 0.2
# I   X     Y     SIG
  1  0.1  4.517 0.004517
  2  0.2  4.860 0.004860
  3  0.3  4.675 0.004675
  4  0.4  4.641 0.004641
  5  0.5  4.442 0.004442
  6  0.6  4.469 0.004469
  7  0.7  4.859 0.004859
  8  0.8  4.565 0.004565
  9  0.9  4.882 0.004882
 10  1.0  4.377 0.004377
 11  1.1  4.938 0.004938
 12  1.2  4.983 0.004983
 13  1.3  4.673 0.004673
 14  1.4  4.403 0.004403
 15  1.5  4.793 0.004793
 16  1.6  5.045 0.005045
 17  1.7  4.751 0.004751
 18  1.8  5.269 0.005269
 19  1.9  4.803 0.004803
 20  2.0  5.171 0.005171
 21  2.1  5.131 0.005131
 22  2.2  5.430 0.005430
 23  2.3  5.109 0.005109
 24  2.4  4.759 0.004759
 25  2.5  4.305 0.004305
 26  2.6  4.712 0.004712
 27  2.7  5.008 0.005008
 28  2.8  5.190 0.005190
 29  2.9  5.294 0.005294
 30  3.0  5.139 0.005139
 31  3.1  5.277 0.005277
 32  3.2  4.678 0.004678
 33  3.3  4.772 0.004772
 34  3.4  5.250 0.005250
 35  3.5  5.294 0.005294
 36  3.6  5.269 0.005269
 37  3.7  5.287 0.005287
 38  3.8  4.934 0.004934
 39  3.9  5.065 0.005065
 40  4.0  5.301 0.005301
 41  4.1  5.573 0.005573
 42  4.2  5.160 0.005160
 43  4.3  5.389 0.005389
 44  4.4  5.844 0.005844
 45  4.5  5.276 0.005276
 46  4.6  5.337 0.005337
 47  4.7  5.601 0.005601
 48  4.8  5.751 0.005751
 49  4.9  5.466 0.005466
 50  5.0  5.579 0.005579
 51  5.1  5.437 0.005437
 52  5.2  5.120 0.005120
 53  5.3  5.468 0.005468
 54  5.4  4.921 0.004921
 55  5.5  5.428 0.005428
 56  5.6  5.217 0.005217
 57  5.7  5.972 0.005972
 58  5.8  5.813 0.005813
 59  5.9  5.548 0.005548
 60  6.0  5.302 0.005302
 61  6.1  5.553 0.005553
 62  6.2  5.601 0.005601
 63  6.3  5.417 0.005417
 64  6.4  5.596 0.005596
 65  6.5  6.101 0.006101
 66  6.6  5.621 0.005621
 67  6.7  5.768 0.005768
 68  6.8  5.921 0.005921
 69  6.9  6.224 0.006224
 70  7.0  5.929 0.005929
 71  7.1  5.752 0.005752
 72  7.2  6.060 0.006060
 73  7.3  5.781 0.005781
 74  7.4  5.567 0.005567
 75  7.5  5.496 0.005496
 76  7.6  6.287 0.006287
 77  7.7  5.741 0.005741
 78  7.8  6.319 0.006319
 79  7.9  6.105 0.006105
 80  8.0  6.221 0.006221
 81  8.1  6.054 0.006054
 82  8.2  6.210 0.006210
 83  8.3  6.429 0.006429
 84  8.4  6.032 0.006032
 85  8.5  6.441 0.006441
 86  8.6  6.148 0.006148
 87  8.7  6.144 0.006144
 88  8.8  6.541 0.006541
 89  8.9  6.187 0.006187
 90  9.0  6.436 0.006436
 91  9.1  6.741 0.006741
 92  9.2  6.509 0.006509
 93  9.3  5.844 0.005844
 94  9.4  6.353 0.006353
 95  9.5  6.312 0.006312
 96  9.6  6.466 0.006466
 97  9.7  6.724 0.006724
 98  9.8  6.699 0.006699
 99  9.9  6.704 0.006704
100 10.0  6.592 0.006592
